CardName,TaxDate,NumAtCard,U_CUINNUMBER,Taxable Amount,VAT AMOUNT
TWIRL ENTERPRISES LTD,22/08/2023,3999,0190178920000001578,178181.0,28508.96
ROSHNI DISTRIBUTORS LTD CROCKERY SR,22/08/2023,0352036,0110400270000012210,48696.19,7791.39
HEALTHY U TWO THOUSAND LTD,26/08/2023,5157373,0020114550000015530,44138.88,7062.22
254 BREWING COMPANY LIMITED,02/08/2023,INV-014927,0190443080000002876,13241.38,2118.62
UDV KENYA LIMITED,15/08/2023,9510338481167,0110600260000032167,161793.13,25886.9
254 BREWING COMPANY LIMITED,23/08/2023,INV-015146,0190443080000003062,6672.44,1067.59
ROYAL BREKKERS LIMITED,27/08/2023,7481,0040303780000001220,1810.31,289.65
TWIRL ENTERPRISES LTD,23/08/2023,3992,0190178920000001572,132387.94,21182.07
DEBENHAM AND FEAR LTD HQ,21/08/2023,547947,0040071920000033223,79650.0,12744.0
WORLD BRANDS K LTD HQ,24/08/2023,061267,0040094050000012819,5488.0,878.08
HARLEYS LTD,28/08/2023,100076870,0020114490000005529,7166.44,1146.63
KAPI LTD,28/08/2023,INV/23/51502,0040095260000005358,26779.06,4284.65
HACO INDUSTRIES KENYA  LTD,23/08/2023,IN23080534,0190431310000006960,20346.0,3255.36
GITHUNGURI DAIRY FARMERS,29/08/2023,P1871194/INV,0190431800000202318,817.25,130.76
OZ FOODS AND BEVERAGES LTD,28/08/2023,22263,0110606400000001118,40010.31,6401.65
HASBAH KENYA LTD P AND G,25/08/2023,NBIINV1078143,0090972930000024781,131399.25,21023.88
BROOKSIDE DAIRY,25/08/2023,2308260866,0040095410000327773,42870.19,6859.23
TWIRL ENTERPRISES LTD,23/08/2023,3988,0190178920000001582,147310.31,23569.65
254 BREWING COMPANY LIMITED,05/08/2023,INV-014975,0190443080000002907,13241.38,2118.62
FIRST DRINKS KENYA LTD SR,31/08/2023,FD000037,0090783700000000195,6879.31,1100.69
KANYANGOLD ABERDARE PARMESSAN CHEESE,31/08/2023,213173,0110156540000000625,30000.0,4800.0
KIM FAY EAST AFRICA LTD,31/08/2023,IN587623,0110167480000043952,21778.38,3484.54
DPL FESTIVE  LIMITED,30/08/2023,5402598,0020108550000332680,2241.06,358.57
BIO FOOD PRODUCTS LTD,25/08/2023,4009666,0190979930000002008,45513.25,7282.12
254 BREWING COMPANY LIMITED,05/08/2023,INV-014953,0190443080000002892,13344.81,2135.17
SAVANNAH BRANDS COMPANY LIMITED,28/08/2023,49785,0020112050000015242,11556.0,1848.96
SIERRA PREMIUM BREWERIES,28/08/2023,IN004951,0040071940000003904,13241.38,2118.62
GO PRO FOODS LTD SR,30/08/2023,1208,0170934490000001307,4096.56,655.45
TRUPTI  ENTERPRISES SR,28/08/2023,8869,0110367370000000938,55988.81,8958.21
CLOROX SUB SAHARA  AFRICA  LTD,29/08/2023,0000005663,0040072110000002748,4655.19,744.83
BIGCOLD KENYA SIMPLIFINE SHELF BREAD,23/08/2023,SINV101866,0190434240000028402,4291.56,686.65
COCA COLA NAIROBI BOTTLERS LIMITED,30/08/2023,1222329688,0110604280000068016,153522.0,24563.52
DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,28/08/2023,9730264177,0040094810000165996,15755.13,2520.82
CALIBER FOODS LIMITED,28/08/2023,7143,0040016430000003640,8993.13,1438.9
KENAFRIC BAKERY LTD,29/08/2023,954465,0010195680000098090,1186.5,189.84
DPL FESTIVE  LIMITED,28/08/2023,5398409,0020108550000330271,4692.19,750.75
ALISON PRODUCTS LTD,25/08/2023,58615,0190978710000009790,20301.94,3248.31
