#,Type,DocNum,Description,Custom Entry,AddID,CardName,TaxDate,NumAtCard,U_CUINNUMBER,Taxable Amount,VAT AMOUNT
2412,Local,1731554,Goods & Services,,P000601924H,BIO FOOD PRODUCTS LTD,24/08/2023,1061506,HTTPS://0190979930000001717,16853.81,2696.61
2413,Local,1731555,Goods & Services,,P051367254K,WISH KENYA LIMITED SR,23/08/2023,CSL000403,HTTPS://0090972110000001206,4604.5,736.72
2414,Local,1731556,Goods & Services,,P051507491R,THE WELL HUNG BUTCHER LTD SR,22/08/2023,16312,HTTPS://0040095540000003316,4820.69,771.31
2415,Local,1731557,Goods & Services,,P051129234X,LABOREX KENYA LTD,25/08/2023,00-754904-00,0040095360000125369,1428,228.48
2416,Local,1731558,Goods & Services,,P000601924H,BIO FOOD PRODUCTS LTD,25/08/2023,1064842,HTTPS://0190979930000001922,8677.94,1388.47
2417,Local,1731560,Goods & Services,,P051117363A,PROCHEM E A LIMITED,23/08/2023,69626,HTTPS://0040092650000006391,17767.25,2842.76
2418,Local,1731561,Goods & Services,,P000612376V,TROPIKAL BRANDS  AFRICA LTD,23/08/2023,INV122792,0040559290000012958,67467.5,10794.8
2419,Local,1731562,Goods & Services,,P051131217Z,KENYA WINE AGENCIES KWAL,28/08/2023,0000459478,0110144790000014490,41401.19,6624.19
2420,Local,1731563,Goods & Services,,P051377250H,PERNOD RICARD KENYA,29/08/2023,SI030161,HTTPS://0110164380000003900,45809.19,7329.47
2421,Local,1731569,Goods & Services,,P051739235Q,PLANET CHIKA CHIKA  LIMITED,28/08/2023,5042,HTTPS://0210352910000001864,12940.13,2070.42
2422,Local,1731570,Goods & Services,,P051116172X,BROOKSIDE DAIRY,28/08/2023,2308291501,HTTPS://0040095410000330039,37843.88,6055.02
2423,Local,1731571,Goods & Services,,P051142408J,ZENKO KENYA LIMITED,25/08/2023,IN427222,0190433770000075719,40690.63,6510.5
2424,Local,1731572,Goods & Services,,P051149521X,SUNDRIES BARGAIN NAIROBI LTD,18/08/2023,207919,HTTPS://0010194020000012615,29048.63,4647.78
2425,Local,1731573,Goods & Services,,P051112721G,MERIT AFRICA LTD 2ND ACCOUNT SR,23/08/2023,127306,011016406000001185,13455,2152.8
2426,Local,1731574,Goods & Services,,P051103075Q,DPL FESTIVE  LIMITED,30/08/2023,5401096,0020108660000331877,2478.19,396.51
2427,Local,1731575,Goods & Services,,P051169597V,WESTLANDS TRADING LTD,24/08/2023,93874,HTTPS://0430205210000007492,13674.56,2187.93
2428,Local,1731576,Goods & Services,,P051169597V,WESTLANDS TRADING LTD,24/08/2023,93871,HTTPS://0430205210000007481,38860.31,6217.65
2429,Local,1731577,Goods & Services,,P000618594N,CHANDARIA INDUSTRIES LTD MACCOFFEE,19/08/2023,1540286,HTTPS://0110167020000171652,47435.94,7589.75
2430,Local,1731578,Goods & Services,,P051169597V,WESTLANDS TRADING LTD,24/08/2023,93872,HTTPS://0430205210000007493,20765.94,3322.55
2431,Local,1731579,Goods & Services,,P000618560D,COASTAL BOTTLERS LTD,31/08/2023,68784,HTTPS://0190407010000016946,404900.56,64784.09
2432,Local,1731580,Goods & Services,,P051373513Q,GOLDEN AFRICA K LTD,29/08/2023,90117583,HTTPS://0110397880000015102,14077.63,2252.42
2433,Local,1731581,Goods & Services,,P051373513Q,GOLDEN AFRICA K LTD,29/08/2023,9011758,HTTPS://0110397880000015100,73841.38,11814.62
2434,Local,1731582,Goods & Services,,P051373513Q,GOLDEN AFRICA K LTD,31/08/2023,90117582,HTTPS://0110397880000015101,15470.56,2475.29
2435,Local,1731583,Goods & Services,,P000600826J,BIDCO AFRICA LTD,29/08/2023,91468982,HTTPS://0090969730000026299,138097.31,22095.57
2436,Local,1731584,Goods & Services,,P051964079X,FENG SHENG MEAT SHOP LTD,30/08/2023,86,HTTPS://0170515640000008757,1319,211.04
2437,Local,1731585,Goods & Services,,P051699330Q,BIGCOLD KENYA SIMPLIFINE SHELF BREAD,31/08/2023,SINV102852,HTTPS://0190434240000030038,953.13,152.5
2438,Local,1731587,Goods & Services,,P000618532X,AFRICAN COTTON INDUSTRIES LTD,22/08/2023,151509,0040075220000011692,168142,26902.72
2439,Local,1731588,Goods & Services,,P051103075Q,DPL FESTIVE  LIMITED,31/08/2023,5402470,0020108550000332499,7782.81,1245.25
2440,Local,1731589,Goods & Services,,P051126245U,VIVA GLOBAL LIMITED,24/08/2023,147909,HTTPS://0090542210000007302,134186.06,21469.77
2441,Local,1731590,Goods & Services,,P051688117L,NATURES RECIPES LIMITED SR,30/08/2023,#531,HTTPS://0040013290000000531,11767.25,1882.76
2442,Local,1731591,Goods & Services,,P051373513Q,GOLDEN AFRICA K LTD,30/08/2023,90117616,HTTPS://0110397880000015124,87483,13997.28
2443,Local,1731592,Goods & Services,,P051373513Q,GOLDEN AFRICA K LTD,30/08/2023,90117617,HTTPS://0110397880000015124,98529,15764.64
2444,Local,1731593,Goods & Services,,P051112721G,MERIT AFRICA LTD,23/08/2023,127311,0110164060000011090,86453.25,13832.52
2445,Local,1731594,Goods & Services,,P051126245U,VIVA GLOBAL LIMITED,24/08/2023,147905,HTTPS://0090542210000007298,84020.31,13443.25
2446,Local,1731596,Goods & Services,,P051131217Z,KENYA WINE AGENCIES KWAL,29/08/2023,0000459547,0110144790000014559,62195.38,9951.26
2447,Local,1731598,Goods & Services,,P051727538R,SUPER SAVERS DISTRIBUTION LTD,17/08/2023,NIN6232,0110399940000001438,78799.94,12607.99
2448,Local,1731599,Goods & Services,,P000611756Q,COCA COLA BEVERAGES  KENYA LTD,31/08/2023,1222333034,0110604280000068509,147932.75,23669.24
2449,Local,1731600,Goods & Services,,P051699330Q,BIGCOLD KENYA SIMPLIFINE SHELF BREAD,31/08/2023,SINV102928,HTTPS://0190434240000030086,2904.56,464.73
2450,Local,1731601,Goods & Services,,P051169597V,WESTLANDS TRADING LTD,31/08/2023,93870,HTTPS://0430205210000007494,29687.06,4749.93
2451,Local,1731603,Goods & Services,,P051098613Z,EQUATORIAL NUTS PROCESSORS LTD,23/08/2023,427231,HTTPS://0040227860000001119,9022.44,1443.59
2452,Local,1731604,Goods & Services,,P051142408J,ZENKO KENYA LIMITED,23/08/2023,INKSM500038930,0190433770000074509,31313.88,5010.22
2453,Local,1731605,Goods & Services,,P000591795D,RAZCO LTD,29/08/2023,2306010209,01940718000033332,13463.06,2154.09
2454,Local,1731607,Goods & Services,,P000608167F,HACO INDUSTRIES KENYA  LTD,30/08/2023,IN23080672,HTTPS://0190431310000007176,31159.94,4985.59
2455,Local,1731608,Goods & Services,,P051149897W,DORMANS COFFEE LIMITED,29/08/2023,MIN5579,0110168160000021330,20492.19,3278.75
2456,Local,1731609,Goods & Services,,P000618560D,COASTAL BOTTLERS LTD,30/08/2023,68885,0190407010000017121,120558.63,19289.38
2457,Local,1731610,Goods & Services,,P051120507D,KIM FAY EAST AFRICA LTD,31/08/2023,IN587622,HTTPS://0110167480000043953,13067,2090.72
2458,Local,1731611,Goods & Services,,P051126245U,VIVA GLOBAL LIMITED,24/08/2023,147908,HTTPS://0090542210000007301,112984.25,18077.48
2459,Local,1731612,Goods & Services,,P051152671V,NEW KCC LTD,31/08/2023,95122028,0190428740000101875,721.56,115.45
2460,Local,1731614,Goods & Services,,P000624346S,MJENGO LIMITED,29/08/2023,2118950,HTTPS://0110145120000071400,5511.13,881.78
2461,Local,1731615,Goods & Services,,P000601924H,BIO FOOD PRODUCTS LTD,30/08/2023,1062332,HTTPS://0190979930000002847,18259.69,2921.55
2462,Local,1731616,Goods & Services,,P051126245U,VIVA GLOBAL LIMITED,25/08/2023,147911,HTTPS://0090542210000007304,41639.31,6662.29
2463,Local,1731617,Goods & Services,,P051472068F,MALACHITE LIMITED,28/08/2023,10299701,HTTPS://0190431320000033230,27091.31,4334.61
2464,Local,1731618,Goods & Services,,P051699330Q,BIGCOLD KENYA SIMPLIFINE SHELF BREAD,30/08/2023,SINV102755,HTTPS://0190434240000030022,144.13,23.06
2465,Local,1731619,Goods & Services,,P051699330Q,BIGCOLD KENYA SIMPLIFINE SHELF BREAD,30/08/2023,SINV102834,HTTPS://0190434240000030030,1120.5,179.28
2466,Local,1731620,Goods & Services,,P000611792U,GLACIER PRODUCTS LTD 2ND,30/08/2023,448545,HTTPS://0190979290000016543,15633.63,2501.38
2467,Local,1731621,Goods & Services,,P000611792U,GLACIER PRODUCTS LTD G P,30/08/2023,448544,HTTPS://0190979210000028337,9698.25,1551.72
2468,Local,1731623,Goods & Services,,P000618594N,CHANDARIA INDUSTRIES  LTD,30/08/2023,1549456,HTTPS://0110167020000177210,27620.81,4419.33
2469,Local,1731624,Goods & Services,,P000612376V,TROPIKAL BRANDS  AFRICA LTD,30/08/2023,INV123149,0040559290000013476,95237.63,15238.02
2470,Local,1731625,Goods & Services,,P000601924H,BIO FOOD PRODUCTS LTD,04/09/2023,1059507.,,13446.88,2151.5
2471,Local,1731626,Goods & Services,,P051116172X,BROOKSIDE DAIRY,26/08/2023,2308271057,HTTPS://0040095430000170324,33190.88,5310.54
2472,Local,1731627,Goods & Services,,P051116172X,BROOKSIDE DAIRY,30/08/2023,2308312098,HTTPS://0040095430000174178,26589.13,4254.26
2473,Local,1731628,Goods & Services,,P051116172X,BROOKSIDE DAIRY,30/08/2023,2308311554,HTTPS://0040095430000174175,81954.38,13112.7
2474,Local,1731630,Goods & Services,,P051865005F,GENERAC ENG  LTD,31/08/2023,0040226220000000134,0040226220000000134,12000,1920
2475,Local,1731631,Goods & Services,,P051865005F,GENERAC ENG  LTD,31/08/2023,0040226220000000133,0040226220000000133,8500,1360
2476,Local,1731632,Goods & Services,,P051865005F,GENERAC ENG  LTD,31/08/2023,0040226220000000132,0040226220000000132,8500,1360
2477,Local,1731633,Goods & Services,,P051865005F,GENERAC ENG  LTD,31/08/2023,0040226220000000131,0040226220000000131,8500,1360
2478,Local,1731635,Goods & Services,,P051472068F,MALACHITE LIMITED,23/08/2023,0190431320000032772,0190431320000032772,12503.19,2000.51
2479,Local,1731639,Goods & Services,,P000601772P,NAIVASHA  PETTY CASH PURCHASE,31/08/2023,,,124.13,19.86
2480,Local,1731640,Goods & Services,,P000601772P,RHAPTA  PETTY CASH PURCHASE,30/08/2023,,,684.5,109.52
2481,Local,1731644,Goods & Services,,P000601772P,RHAPTA  PETTY CASH PURCHASE,31/08/2023,,,697.44,111.59
2482,Local,1731651,Goods & Services,,P000601772P,KAKAMEGA  PETTY CASH PURCHASE,31/08/2023,,,168.13,26.9
2483,Local,1731654,Goods & Services,,P000601772P,DIANI PETTY CASH PURCHASE,31/08/2023,,,5612.06,897.93
2484,Local,1731659,Goods & Services,,P051984763Y,RAJ KAMAL ENTERPRISE LIMITED,25/07/2023,4970,0170955880000001555,89021.56,14243.45
2485,Local,1731661,Goods & Services,,P051092185B,PWANI OIL PRODUCTS LTD.,14/08/2023,2371001086,0010193960000054381,381594.88,61055.18
2486,Local,1731664,Goods & Services,,P051984763Y,RAJ KAMAL ENTERPRISE LIMITED,25/07/2023,4971,https://itax.kra.go./KRA-Portal/invoiceChk.htm?actionCode=loadPage&invoiceNo=0170955880000001556,28336.19,4533.79
2487,Local,1731666,Goods & Services,,P000601772P,NGARA PETTY CASH PURCHASE,30/08/2023,,,1178.44,188.55
2488,Local,1731667,Goods & Services,,P000601772P,NGARA PETTY CASH PURCHASE,31/08/2023,,,142.25,22.76
2489,Local,1731672,Goods & Services,,P000593926X,BEIERSDORF EAST AFRICA LTD HQ,28/08/2023,9056100848,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0020110880000006889,12600.75,2016.12
2490,Local,1731673,Goods & Services,,P051116172X,BROOKSIDE DAIRY,30/08/2023,2308312050,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040095410000332563,66747.13,10679.54
2491,Local,1731674,Goods & Services,,P051116172X,BROOKSIDE DAIRY,30/08/2023,2308311366,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040095410000332557,6959.81,1113.57
2492,Local,1731675,Goods & Services,,P051149521X,SUNDRIES BARGAIN NAIROBI LTD,31/08/2023,208236,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0010194020000012988,4465.69,714.51
2493,Local,1731676,Goods & Services,,P051387396X,RWENZORI KENYA LIMITED,24/08/2023,RKLINV3099/23,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0090541720000003577,2889.63,462.34
2494,Local,1731677,Goods & Services,,A002764056Z,JEVANS ENTERPRISES,29/08/2023,23-200-000118,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040222900000000683,4086.19,653.79
2495,Local,1731678,Goods & Services,,P051116172X,BROOKSIDE DAIRY,29/08/2023,2308301582,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040095410000331046,9815.06,1570.41
2496,Local,1731681,Goods & Services,,P051116172X,BROOKSIDE DAIRY,30/08/2023,2308311693,0040095410000332244,6114.06,978.25
2497,Local,1731682,Goods & Services,,P051175790J,CHYENI PRINTERS,31/08/2023,7032,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0090784120000000262,1810.31,289.65
2498,Local,1731684,Goods & Services,,P051787788L,L S FOOD LAB LTD SR,19/08/2023,INV000046,0040347210000000048,1580.38,252.86
2499,Local,1731685,Goods & Services,,P051767081V,KENMEAT LIMITED,29/08/2023,INV17783,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE INVOICENO=0090969560000009516,4975,796
2500,Local,1731687,Goods & Services,,P000608453C,SUNPOWER PRODUCTS LTD,15/08/2023,1184609,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040091730000052640,33826.44,5412.23
2501,Local,1731688,Goods & Services,,P051116172X,BROOKSIDE DAIRY,30/08/2023,2308311417,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040095410000332569,16604,2656.64
2502,Local,1731689,Goods & Services,,P051116172X,BROOKSIDE DAIRY,31/08/2023,2308312066,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040095430000174138,55290.31,8846.45
2503,Local,1731690,Goods & Services,,P051739235Q,PLANET CHIKA CHIKA  LIMITED,31/08/2023,5051,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0210352910000001886,6455.19,1032.83
2504,Local,1731692,Goods & Services,,P000593926X,BEIERSDORF EAST AFRICA LTD HQ,24/08/2023,9056100830,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0020110880000006868,68859,11017.44
2505,Local,1731693,Goods & Services,,P051116172X,BROOKSIDE DAIRY,30/08/2023,2308312073,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040095410000332215,116462,18633.92
2506,Local,1731694,Goods & Services,,P051116172X,BROOKSIDE DAIRY,30/08/2023,2308311436,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040095430000173785,182767.81,29242.85
2507,Local,1731695,Goods & Services,,P051098613Z,EQUATORIAL NUTS PROCESSORS LTD,31/08/2023,42799,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040133760000000230,5547.44,887.59
2508,Local,1731696,Goods & Services,,P051149521X,SUNDRIES BARGAIN NAIROBI LTD,30/08/2023,208257,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0010194020000013024,54603.25,8736.52
2509,Local,1731697,Goods & Services,,P051116172X,BROOKSIDE DAIRY,30/08/2023,2308311898,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040095430000174298,55928.88,8948.62
2510,Local,1731698,Goods & Services,,P051116172X,BROOKSIDE DAIRY,30/08/2023,2308312079,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040095410000332736,108520.31,17363.25
2511,Local,1731699,Goods & Services,,P051149521X,SUNDRIES BARGAIN NAIROBI LTD,30/08/2023,208250,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0010194020000013016,72698.69,11631.79
2512,Local,1731700,Goods & Services,,P000596923C,EXCEL CHEMICALS LTD,14/08/2023,980624,0190434660000038978,229933.25,36789.32
2513,Local,1731701,Goods & Services,,P051112721G,MERIT AFRICA LTD 2ND ACCOUNT SR,23/08/2023,127307,0110164060000011086,18734.63,2997.54
2514,Local,1731703,Goods & Services,,P000623337P,GITHUNGURI DAIRY FARMERS,30/08/2023,Y0038344/INV,0190431670000067055,16236.06,2597.77
2515,Local,1731704,Goods & Services,,P000593584F,KENYA BREWERIES LTD,24/08/2023,9501459220,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0110396000000058927,799756,127960.96
2516,Local,1731706,Goods & Services,,P051697126Z,254 BREWING COMPANY LIMITED,28/07/2023,INV-014865,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0190443080000002804,13344.81,2135.17
2517,Local,1731707,Goods & Services,,P051522452A,URBAN BLAQ LIMITED,24/08/2023,4220,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040090660000000740,37267.25,5962.76
2518,Local,1731709,Goods & Services,,A002764056Z,JEVANS ENTERPRISES,29/08/2023,23-200-000116,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040222900000000681,5275.88,844.14
2519,Local,1731710,Goods & Services,,P000611756Q,COCA COLA BEVERAGES  KENYA LTD,30/08/2023,1222330239,0110604780000068150,105946.69,16951.47
2520,Local,1731711,Goods & Services,,P051183865E,EAST AFRICA STAR BAKERY,30/08/2023,137276,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0041427950000000852,23836.19,3813.79
2521,Local,1731712,Goods & Services,,P051472068F,MALACHITE LIMITED,31/08/2023,10299879,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0190431320000033456,19845.44,3175.27
2522,Local,1731714,Goods & Services,,P000623664X,BROADWAYS BAKERY LTD,29/08/2023,1516230475,0110614860000044067,560.31,89.65
2523,Local,1731715,Goods & Services,,P000593926X,BEIERSDORF EAST AFRICA LTD HQ,25/08/2023,9056100841,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0020110880000006879,131153.81,20984.61
2524,Local,1731716,Goods & Services,,P000623664X,BROADWAYS BAKERY LTD,30/08/2023,1552230630,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0110397360000052645,224.13,35.86
2525,Local,1731717,Goods & Services,,P051116172X,BROOKSIDE DAIRY,30/08/2023,2308311823,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040095430000174267,13222.94,2115.67
2526,Local,1731718,Goods & Services,,P051116172X,BROOKSIDE DAIRY,30/08/2023,2308312068,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040095410000332698,47877.25,7660.36
2527,Local,1731720,Goods & Services,,P051149521X,SUNDRIES BARGAIN NAIROBI LTD,30/08/2023,208238,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0010194020000012990,17000.19,2720.03
2528,Local,1731721,Goods & Services,,P000611756Q,COCA COLA BEVERAGES  KENYA LTD,17/08/2023,1222299391,0110604280000064773,97440.75,15590.52
2529,Local,1731723,Goods & Services,,P051168946K,MOHANS OYSTERBAY DRINKS  KENYA,30/08/2023,16740,0010193420000012522,11637.94,1862.07
2530,Local,1731724,Goods & Services,,P051116172X,BROOKSIDE DAIRY,30/08/2023,230830C4011,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040095430000173639,44639.38,7142.3
2531,Local,1731725,Goods & Services,,P000623664X,BROADWAYS BAKERY LTD,29/08/2023,1560230192,0110397340000118430,280.19,44.83
2532,Local,1731726,Goods & Services,,P051116172X,BROOKSIDE DAIRY,29/08/2023,230829C4011,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040095430000172419,23527.31,3764.37
2533,Local,1731727,Goods & Services,,P051133092U,HEALTHY U TWO THOUSAND LTD,26/08/2023,5157667,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0020114550000015549,158000.5,25280.08
2534,Local,1731729,Goods & Services,,P051179490Z,TOP FOOD EA LTD,22/08/2023,55246,0040563010000007128,53078.31,8492.53
2535,Local,1731730,Goods & Services,,P000618560D,COASTAL BOTTLERS LTD,24/08/2023,68678,0190407010000016716,54085.13,8653.62
2536,Local,1731731,Goods & Services,,P051327435D,ENOVA INDUSTRIES LIMITED,28/08/2023,76402,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0170519390000016931,16689.63,2670.34
2537,Local,1731732,Goods & Services,,P051116172X,BROOKSIDE DAIRY,29/08/2023,2308301090,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040095430000172604,156315.44,25010.47
2538,Local,1731733,Goods & Services,,P051979723Z,ALIMP GROUP LIMITED SR,29/08/2023,AGL22/1550,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0170516520000001205,35204.75,5632.76
2539,Local,1731735,Goods & Services,,P051165050T,GILANI GOURMET LTD,29/08/2023,22143,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0110672010000004280,2900,464
2540,Local,1731736,Goods & Services,,P051766482Y,ADELANTTE ENTERPRISES LTD SR,24/08/2023,DP230222,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0110644840000000277,2767.25,442.76
2541,Local,1731737,Goods & Services,,P000610180L,KENYA TEA PACKERS KETEPA,29/08/2023,000272082,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0020001490000010944,19955.63,3192.9
2542,Local,1731739,Goods & Services,,P000611685U,JAK INDUSTRIES LTD,28/08/2023,26719,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=CUCN 0430205880000001598,13396.5,2143.44
2543,Local,1731740,Goods & Services,,P000591377X,SLATER AND WHITTAKER LTD,29/08/2023,35686,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0110393590000009465,7013.81,1122.21
2544,Local,1731741,Goods & Services,,P051345577O,WEETABIX E.A LTD,28/08/2023,IL23080009160,0110396600000011308,114459.88,18313.58
2545,Local,1731742,Goods & Services,,P051345577O,WEETABIX E.A LTD,28/08/2023,IF23080000353,0110396600000011317,53027.88,8484.46
2546,Local,1731743,Goods & Services,,P051383023R,SANGARE GARDENS  LTD,28/08/2023,SGL/INV/AUG23/001275,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0172168790000003553,12617.94,2018.87
2547,Local,1731744,Goods & Services,,P000601924H,BIO FOOD PRODUCTS LTD,29/08/2023,1062103,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0190979930000002575,9999.31,1599.89
2548,Local,1731746,Goods & Services,,P051241553R,BENCHMARK DISTRIBUTORS LTD,30/08/2023,169869,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0190429970000002303,47215.88,7554.54
2549,Local,1731748,Goods & Services,,P051100924G,KEVIAN KENYA LTD,19/08/2023,KKL02074173,0040092770000018251,10031.81,1605.09
2550,Local,1731749,Goods & Services,,P051116172X,BROOKSIDE DAIRY,30/08/2023,2308311049,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040095430000173666,45315.13,7250.42
2551,Local,1731750,Goods & Services,,P051394736G,THE WINE SHOP LTD,29/08/2023,33491,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0170495820000020298,43974.56,7035.93
2552,Local,1731751,Goods & Services,,P051187194M,NORDA INDUSTRIES LTD.,30/08/2023,INV202312646,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0110396260000019248,31845.75,5095.32
2553,Local,1731752,Goods & Services,,P000623337P,GITHUNGURI DAIRY FARMERS,30/08/2023,P1871930/INV,0190431800000203306,1812.44,289.99
2554,Local,1731753,Goods & Services,,P051227284K,KEROCHE BREWERIES LTD SR,19/08/2023,RVSD0569,,14896.56,2383.45
2555,Local,1731755,Goods & Services,,P051133936T,GOLD CROWN BEVERAGES,29/08/2023,153654,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0040092890000017816,28878.38,4620.54
2556,Local,1731756,Goods & Services,,P051168946K,MOHANS OYSTERBAY DRINKS  KENYA,30/08/2023,16772,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0010193420000012555,6724.13,1075.86
